BGF_1000m2,E3_upper_m2,E3_lower_m2
0.5,96.9,87.4
1.0,144.7,125.6
1.5,189.3,165.8
2.0,229.2,200.4
2.5,264.4,231.0
3.0,299.1,258.5
3.5,325.8,283.6
4.0,353.2,307.5
4.5,375.9,327.5
5.0,397.1,345.4
5.5,417.4,363.3
6.0,436.1,379.7
6.5,456.4,397.6
7.0,476.8,415.6
7.5,497.9,433.5
8.0,523.0,454.6
8.5,548.1,477.4
9.0,576.4,500.9
9.5,608.6,529.9
10.0,622.2,541.1
