BGF_1000m2,E1_upper_m2,E1_lower_m2
0.5,33.15719947159842,29.669749009247028
1.0,39.58562191476048,34.98852812347911
1.5,46.09330459570326,40.3865674754919
2.0,51.96690537440033,45.626086351943265
2.5,57.68198567753598,50.707084752833204
3.0,62.92150455398735,55.31252172703886
3.5,68.1610234304387,59.7594382256831
4.0,72.76646040464438,63.88931377320447
4.5,77.38441215323647,67.86066884516443
5.0,81.81881387749426,71.67350344156296
5.5,86.26573037613849,75.48633803796147
6.0,91.02968782590558,79.61621358548287
6.5,95.63512480011124,83.72523117569352
7.0,100.2405617743169,87.87596468052563
7.5,105.16303969964542,92.005840228047
8.0,110.40255857609678,96.61127720225267
8.5,116.01334909267885,101.37523465201974
9.0,121.9912396579295,106.45623305290968
9.5,128.65744281443372,112.17131335604533
10.0,135.71994715984147,118.12417437252311
