BGF_1000m2,K2_upper_m2,K2_lower_m2
100.0,107.96940194714881,93.36578581363005
110.0,110.65441768538176,96.16865529609838
120.0,114.79979503696654,100.1884927896933
130.0,119.29873362125758,103.85476905058195
140.0,123.57733694458676,107.74138057243248
150.0,127.82519581289803,111.76121806602738
160.0,132.33182051094357,115.29426835517167
170.0,136.8384452089891,118.82731864431594
180.0,141.13242075982726,122.84715613791083
190.0,145.27779811141207,126.38020642705513
200.0,149.42317546299685,129.91325671619938
210.0,153.89136959226997,133.610277432106
220.0,157.91120708586487,137.46614449893858
230.0,162.34609472220188,140.99919478808283
240.0,166.00468486933607,144.53224507722717
250.0,170.4575067711002,148.55208257082205
260.0,174.47734426469512,152.08513285996634
270.0,178.49718175829003,155.61818314911062
280.0,182.58619427567527,159.15123343825488
290.0,186.53685674547984,162.6842837273992
300.0,190.55669423907474,166.21733401654345
310.0,194.57653173266965,169.2635971012371
320.0,198.59636922626456,172.79664739038137
330.0,202.61620671985946,176.32969767952565
340.0,206.63604421345437,179.71158773149844
350.0,210.63026132786763,182.90901105336357
360.0,214.67571920064418,186.44206134250788
370.0,218.6955566942391,189.48832442720155
380.0,222.57960617817145,192.67037552155773
390.0,226.24844447697825,196.06763780103947
400.0,229.8967864724398,199.60068809018372
410.0,234.28811946416806,203.133738379328
420.0,238.30795695776297,206.18000146402167
430.0,242.3277944513579,209.71305175316596
440.0,245.9915086743284,213.2461020423102
450.0,249.88068223409707,216.52294853963838
460.0,253.41373252324132,219.82541541614813
470.0,256.459995607935,222.38489129639117
480.0,259.9930458970793,225.43115438108484
490.0,263.5260961862236,228.4774174657785
500.0,267.0591464753678,231.92079642778714
510.0,271.07898396896275,235.54351804406704
520.0,274.61203425810703,239.07656833321133
530.0,278.1450845472513,241.63604421345434
540.0,281.6781348363956,245.16909450259865
550.0,285.2111851255399,248.21535758729232
560.0,288.74423541468417,251.26162067198595
570.0,292.2772857038284,253.82109655222897
580.0,295.8103359929726,256.8673596369226
590.0,299.34338628211697,259.9136227216163
600.0,302.5818022106727,262.95988580630996
610.0,305.9226996559549,266.0061488910036
620.0,309.45574994509917,269.05241197569717
630.0,312.9068150208623,271.61188785594027
640.0,315.82753824756605,274.6581509406339
650.0,319.0813264036308,277.21762682087694
660.0,322.614376692775,280.2638899055706
670.0,325.6606397774687,282.8233657858136
680.0,328.70690286216234,285.86962887050726
690.0,332.2399531513066,288.4291047507503
700.0,335.28621623600026,291.475367835444
710.0,338.33247932069395,294.034843715687
720.0,341.3787424053876,296.59431959593
730.0,344.4250054900813,299.64058268062365
740.0,347.4712685747749,302.2000585608667
750.0,350.51753165946855,304.75953444110974
760.0,353.5637947441622,307.3190103213527
770.0,356.1232706244052,309.87848620159576
780.0,358.68274650464826,312.4379620818388
790.0,361.72900958934196,315.34075104311546
800.0,364.28848546958494,317.55691384232483
810.0,367.33474855427863,320.11638972256793
820.0,370.38101163897227,322.6758656028109
830.0,372.9404875192153,325.23534148305396
840.0,375.4999633994583,327.5104311543811
850.0,378.05943927970134,329.8675060390894
860.0,380.5702364394993,331.9401947148817
870.0,382.69160383573677,334.4996705951248
880.0,385.25107971597976,336.759388038943
890.0,387.38525730180805,339.13183515116026
900.0,389.8832442720152,341.2045238269526
910.0,392.44272015225823,343.277212502745
920.0,395.0021960325013,345.5215577190543
930.0,397.5616719127443,347.46870653685676
940.0,400.1211477929873,349.4952785301222
950.0,402.47566063977746,351.5679672059146
960.0,404.7533123490228,353.64065588170706
970.0,407.3127882292658,355.71334455749945
980.0,409.8722641095088,357.78603323329185
990.0,412.21140472879,359.85872190908424
1000.0,414.64534075104314,361.93141058487663
1010.0,417.0639045457873,364.0040992606691
1020.0,419.6233804260303,366.07678793646147
1030.0,422.1828563062733,368.14947661225386
1040.0,423.894297635605,369.8609179415855
1050.0,423.894297635605,369.8609179415855
